query	A2Y4S9	A4VND9	A4YQU0	A8HZ17	A8WQY3	A8X769	B4USV4	D3NRE7	D5ARP7	D5QVH0	D5WYQ5	D5WYQ6	M1V1V5	O06844	O13393	O22642	O23138	O34215	O50651	O69583	O93863	P00002	P00003	P00004	P00007	P00008	P00011	P00012	P00013	P00014	P00015	P00017	P00018	P00019	P00020	P00021	P00022	P00024	P00025	P00026	P00027	P00028	P00029	P00030	P00031	P00032	P00035	P00036	P00037	P00038	P00039	P00040	P00041	P00042	P00043	P00044	P00045	P00046	P00047	P00048	P00049	P00051	P00052	P00053	P00054	P00056	P00057	P00058	P00059	P00060	P00061	P00062	P00063	P00064	P00065	P00066	P00067	P00068	P00069	P00070	P00071	P00072	P00073	P00074	P00075	P00076	P00077	P00078	P00079	P00080	P00081	P00082	P00083	P00084	P00085	P00086	P00087	P00088	P00089	P00090
A2Y4S9	1.0	0.9428571428571428	0.9246498599439776	0.9224089635854342	0.6358543417366946	0.6554621848739496	0.5938375350140056	0.938655462184874	0.9190476190476191	0.7324929971988796	0.9330532212885154	0.0	0.9299719887955182	0.946218487394958	0.6218487394957983	0.3977591036414566	0.4201680672268907	0.9406162464985994	0.9330532212885154	0.9235294117647059	0.6218487394957983	0.5826330532212884	0.5910364145658263	0.5910364145658263	0.5854341736694677	0.5910364145658263	0.5882352941176471	0.5910364145658263	0.5882352941176471	0.5798319327731092	0.5742296918767507	0.5910364145658263	0.5826330532212884	0.5854341736694677	0.5910364145658263	0.5910364145658263	0.5882352941176471	0.6162464985994398	0.607843137254902	0.5938375350140056	0.6190476190476191	0.6050420168067228	0.6106442577030813	0.6106442577030813	0.6162464985994398	0.6218487394957983	0.5938375350140056	0.5882352941176471	0.5882352941176471	0.5826330532212884	0.5882352941176471	0.5686274509803921	0.6302521008403361	0.6190476190476191	0.6358543417366946	0.6162464985994398	0.6302521008403361	0.6050420168067228	0.6022408963585435	0.6050420168067228	0.6162464985994398	0.3893557422969187	0.3921568627450981	0.4201680672268907	0.3893557422969187	0.39495798319327735	0.40896358543417366	0.40896358543417366	0.4061624649859944	0.4005602240896359	0.3921568627450981	0.40336134453781514	0.4117647058823529	0.4145658263305322	0.39495798319327735	0.45378151260504207	0.4285714285714286	0.4117647058823529	0.4285714285714286	0.40896358543417366	0.44817927170868344	0.43137254901960786	0.44817927170868344	0.4285714285714286	0.4901960784313726	0.6526610644257703	0.6554621848739496	0.6442577030812324	0.7507002801120448	0.6946778711484594	0.7453781512605042	0.7142857142857143	0.6918767507002801	0.7198879551820728	0.7411764705882353	0.7938375350140057	0.7938375350140057	0.7691876750700279	0.7638655462184873	0.8296918767507002
A4VND9	0.9428571428571428	1.0	0.9254901960784314	0.9299719887955182	0.9439775910364145	0.0	0.9299719887955182	0.9028011204481793	0.9126050420168067	0.946218487394958	0.9299719887955182	0.5910364145658263	0.9277310924369748	0.9288515406162465	0.0	0.9375350140056022	0.9394957983193277	0.903921568627451	0.9190476190476191	0.9246498599439776	0.0	0.9364145658263305	0.9364145658263305	0.9352941176470588	0.9352941176470588	0.9352941176470588	0.9364145658263305	0.9364145658263305	0.9364145658263305	0.9330532212885154	0.9364145658263305	0.9352941176470588	0.9375350140056022	0.938655462184874	0.938655462184874	0.938655462184874	0.9352941176470588	0.938655462184874	0.9375350140056022	0.9406162464985994	0.9364145658263305	0.9341736694677871	0.9266106442577031	0.9375350140056022	0.9394957983193277	0.9179271708683473	0.9341736694677871	0.9341736694677871	0.9266106442577031	0.9319327731092437	0.9394957983193277	0.9288515406162465	0.9375350140056022	0.0	0.938655462184874	0.0	0.0	0.9394957983193277	0.9330532212885154	0.9375350140056022	0.9515406162464985	0.9428571428571428	0.9375350140056022	0.9470588235294117	0.9439775910364145	0.9428571428571428	0.9439775910364145	0.9394957983193277	0.9481792717086834	0.9428571428571428	0.938655462184874	0.0	0.938655462184874	0.9394957983193277	0.9439775910364145	0.9406162464985994	0.9394957983193277	0.9330532212885154	0.946218487394958	0.9428571428571428	0.9481792717086834	0.9417366946778711	0.9428571428571428	0.9439775910364145	0.9439775910364145	0.0	0.0	0.0	0.9439775910364145	0.9439775910364145	0.9515406162464985	0.0	0.9492997198879551	0.9439775910364145	0.9492997198879551	0.9428571428571428	0.9417366946778711	0.9439775910364145	0.9406162464985994	0.9364145658263305
A4YQU0	0.9246498599439776	0.9254901960784314	1.0	0.0	0.9299719887955182	0.9235294117647059	0.9201680672268908	0.17086834733893552	0.2773109243697479	0.9299719887955182	0.9201680672268908	0.903921568627451	0.9008403361344538	0.9375350140056022	0.9310924369747899	0.9254901960784314	0.9224089635854342	0.9170868347338935	0.9428571428571428	0.8759103641456583	0.9179271708683473	0.9266106442577031	0.9288515406162465	0.9190476190476191	0.9201680672268908	0.9201680672268908	0.9190476190476191	0.9190476190476191	0.9201680672268908	0.9212885154061625	0.9103641456582633	0.9212885154061625	0.9212885154061625	0.9212885154061625	0.9201680672268908	0.9212885154061625	0.9201680672268908	0.9159663865546218	0.9170868347338935	0.9179271708683473	0.9190476190476191	0.9190476190476191	0.9148459383753501	0.9201680672268908	0.9201680672268908	0.911484593837535	0.9126050420168067	0.9126050420168067	0.9148459383753501	0.9148459383753501	0.9170868347338935	0.9159663865546218	0.9126050420168067	0.9266106442577031	0.9310924369747899	0.9254901960784314	0.9319327731092437	0.9288515406162465	0.9212885154061625	0.9330532212885154	0.9159663865546218	0.9254901960784314	0.9246498599439776	0.9190476190476191	0.9254901960784314	0.9254901960784314	0.9266106442577031	0.9224089635854342	0.9246498599439776	0.9266106442577031	0.9277310924369748	0.9319327731092437	0.9254901960784314	0.9277310924369748	0.9254901960784314	0.9235294117647059	0.9254901960784314	0.9266106442577031	0.9224089635854342	0.9254901960784314	0.9310924369747899	0.9254901960784314	0.9266106442577031	0.9266106442577031	0.9190476190476191	0.9406162464985994	0.9299719887955182	0.9277310924369748	0.9254901960784314	0.9310924369747899	0.9364145658263305	0.0	0.9481792717086834	0.938655462184874	0.9394957983193277	0.9492997198879551	0.9504201680672268	0.9450980392156862	0.938655462184874	0.0
A8HZ17	0.9224089635854342	0.9299719887955182	0.0	1.0	0.9352941176470588	0.9341736694677871	0.9266106442577031	0.19887955182072825	0.25210084033613445	0.9470588235294117	0.9170868347338935	0.9159663865546218	0.8974789915966387	0.9450980392156862	0.9246498599439776	0.9179271708683473	0.9235294117647059	0.9159663865546218	0.9450980392156862	0.9072829131652661	0.9170868347338935	0.9341736694677871	0.9341736694677871	0.9266106442577031	0.9288515406162465	0.9277310924369748	0.9288515406162465	0.9288515406162465	0.9288515406162465	0.9235294117647059	0.9288515406162465	0.9310924369747899	0.9246498599439776	0.9266106442577031	0.9310924369747899	0.9310924369747899	0.9224089635854342	0.9288515406162465	0.9235294117647059	0.9277310924369748	0.9235294117647059	0.9319327731092437	0.9266106442577031	0.9254901960784314	0.9288515406162465	0.9299719887955182	0.9254901960784314	0.9254901960784314	0.9288515406162465	0.9266106442577031	0.9266106442577031	0.9246498599439776	0.9061624649859944	0.9266106442577031	0.9235294117647059	0.9277310924369748	0.9224089635854342	0.9179271708683473	0.9224089635854342	0.9201680672268908	0.9170868347338935	0.9254901960784314	0.9246498599439776	0.9235294117647059	0.9224089635854342	0.9201680672268908	0.9190476190476191	0.9201680672268908	0.9159663865546218	0.9212885154061625	0.9254901960784314	0.9330532212885154	0.9266106442577031	0.9190476190476191	0.9235294117647059	0.9310924369747899	0.9310924369747899	0.9212885154061625	0.9246498599439776	0.9299719887955182	0.9277310924369748	0.9212885154061625	0.9266106442577031	0.9179271708683473	0.9137254901960784	0.9310924369747899	0.9310924369747899	0.9319327731092437	0.9364145658263305	0.9394957983193277	0.9417366946778711	0.0	0.9470588235294117	0.9428571428571428	0.9492997198879551	0.946218487394958	0.9352941176470588	0.938655462184874	0.9310924369747899	0.9450980392156862
A8WQY3	0.6358543417366946	0.9439775910364145	0.9299719887955182	0.9352941176470588	1.0	0.4957983193277311	0.6302521008403361	0.9266106442577031	0.9364145658263305	0.7756302521008404	0.9137254901960784	0.9394957983193277	0.9319327731092437	0.9375350140056022	0.6750700280112045	0.6190476190476191	0.6414565826330532	0.9364145658263305	0.9330532212885154	0.9310924369747899	0.6778711484593838	0.6442577030812324	0.6414565826330532	0.6386554621848739	0.6330532212885154	0.6274509803921569	0.6302521008403361	0.6274509803921569	0.6358543417366946	0.6358543417366946	0.6274509803921569	0.6302521008403361	0.6358543417366946	0.6358543417366946	0.6358543417366946	0.6358543417366946	0.6246498599439776	0.6218487394957983	0.6498599439775911	0.6246498599439776	0.6386554621848739	0.6274509803921569	0.6134453781512605	0.5854341736694677	0.6442577030812324	0.6442577030812324	0.607843137254902	0.6106442577030813	0.607843137254902	0.5938375350140056	0.5966386554621849	0.6106442577030813	0.6918767507002801	0.6918767507002801	0.6554621848739496	0.6722689075630253	0.6862745098039216	0.6638655462184874	0.6610644257703081	0.6666666666666667	0.6610644257703081	0.6358543417366946	0.6358543417366946	0.6442577030812324	0.6330532212885154	0.6330532212885154	0.6414565826330532	0.6358543417366946	0.6470588235294117	0.6386554621848739	0.6386554621848739	0.6358543417366946	0.6358543417366946	0.6302521008403361	0.6386554621848739	0.6218487394957983	0.6134453781512605	0.6246498599439776	0.6190476190476191	0.6218487394957983	0.6302521008403361	0.6218487394957983	0.6274509803921569	0.6218487394957983	0.6162464985994398	0.6638655462184874	0.6582633053221288	0.6610644257703081	0.7389355742296919	0.7142857142857143	0.7627450980392156	0.7378151260504202	0.7198879551820728	0.7680672268907563	0.7411764705882353	0.8123249299719888	0.8134453781512605	0.7638655462184873	0.7647058823529411	0.807843137254902
A8X769	0.6554621848739496	0.0	0.9235294117647059	0.9341736694677871	0.4957983193277311	1.0	0.6470588235294117	0.9277310924369748	0.9341736694677871	0.7896358543417368	0.9212885154061625	0.9450980392156862	0.9450980392156862	0.0	0.7002801120448179	0.6358543417366946	0.6554621848739496	0.9417366946778711	0.0	0.9299719887955182	0.6890756302521008	0.6498599439775911	0.6498599439775911	0.6498599439775911	0.6470588235294117	0.6386554621848739	0.6442577030812324	0.6386554621848739	0.6470588235294117	0.6386554621848739	0.6498599439775911	0.6414565826330532	0.6386554621848739	0.6442577030812324	0.6414565826330532	0.6442577030812324	0.6302521008403361	0.6554621848739496	0.669467787114846	0.6442577030812324	0.6498599439775911	0.6498599439775911	0.6190476190476191	0.6246498599439776	0.6386554621848739	0.6582633053221288	0.6358543417366946	0.6386554621848739	0.6386554621848739	0.6246498599439776	0.6246498599439776	0.6218487394957983	0.7142857142857143	0.7170868347338936	0.6918767507002801	0.711484593837535	0.6918767507002801	0.6834733893557423	0.680672268907563	0.6862745098039216	0.6862745098039216	0.6554621848739496	0.6554621848739496	0.6554621848739496	0.6526610644257703	0.6526610644257703	0.6610644257703081	0.6582633053221288	0.6638655462184874	0.6582633053221288	0.6554621848739496	0.6554621848739496	0.6638655462184874	0.6526610644257703	0.6582633053221288	0.6470588235294117	0.6442577030812324	0.6582633053221288	0.6442577030812324	0.6442577030812324	0.6526610644257703	0.6470588235294117	0.6554621848739496	0.6582633053221288	0.6442577030812324	0.7002801120448179	0.7058823529411764	0.7086834733893557	0.7453781512605042	0.7476190476190476	0.7627450980392156	0.7400560224089636	0.742296918767507	0.7647058823529411	0.7563025210084033	0.8145658263305322	0.8187675070028011	0.7669467787114845	0.7669467787114845	0.815406162464986
B4USV4	0.5938375350140056	0.9299719887955182	0.9201680672268908	0.9266106442577031	0.6302521008403361	0.6470588235294117	1.0	0.9310924369747899	0.9254901960784314	0.7518207282913165	0.9235294117647059	0.0	0.9319327731092437	0.0	0.6022408963585435	0.5826330532212884	0.6106442577030813	0.9288515406162465	0.0	0.9212885154061625	0.6302521008403361	0.45378151260504207	0.45378151260504207	0.44817927170868344	0.4285714285714286	0.42577030812324934	0.4369747899159664	0.4425770308123249	0.4425770308123249	0.43977591036414565	0.4789915966386554	0.4453781512605042	0.44817927170868344	0.4509803921568627	0.4453781512605042	0.43977591036414565	0.46218487394957986	0.46218487394957986	0.4957983193277311	0.47619047619047616	0.49859943977591037	0.4901960784313726	0.5042016806722689	0.5238095238095238	0.5266106442577031	0.5518207282913166	0.49859943977591037	0.5042016806722689	0.5126050420168067	0.5266106442577031	0.49299719887955185	0.49859943977591037	0.6134453781512605	0.6134453781512605	0.6022408963585435	0.6134453781512605	0.6162464985994398	0.5630252100840336	0.5798319327731092	0.6022408963585435	0.6134453781512605	0.6022408963585435	0.6022408963585435	0.6134453781512605	0.5826330532212884	0.5994397759103641	0.5854341736694677	0.5882352941176471	0.5966386554621849	0.5882352941176471	0.5770308123249299	0.607843137254902	0.5966386554621849	0.5966386554621849	0.6106442577030813	0.5966386554621849	0.5966386554621849	0.5826330532212884	0.5938375350140056	0.6022408963585435	0.607843137254902	0.5658263305322129	0.5938375350140056	0.5742296918767507	0.6022408963585435	0.6610644257703081	0.6750700280112045	0.669467787114846	0.742296918767507	0.7389355742296919	0.7680672268907563	0.7249299719887955	0.6834733893557423	0.7030812324929971	0.7249299719887955	0.7960784313725491	0.7896358543417368	0.7495798319327731	0.7400560224089636	0.82296918767507
D3NRE7	0.938655462184874	0.9028011204481793	0.17086834733893552	0.19887955182072825	0.9266106442577031	0.9277310924369748	0.9310924369747899	1.0	0.3445378151260504	0.9126050420168067	0.9288515406162465	0.9179271708683473	0.8792717086834734	0.9310924369747899	0.0	0.938655462184874	0.9375350140056022	0.911484593837535	0.9319327731092437	0.892156862745098	0.0	0.9330532212885154	0.9330532212885154	0.9266106442577031	0.9266106442577031	0.9266106442577031	0.9266106442577031	0.9266106442577031	0.9266106442577031	0.9266106442577031	0.9375350140056022	0.9299719887955182	0.9299719887955182	0.9299719887955182	0.9288515406162465	0.9299719887955182	0.9266106442577031	0.9277310924369748	0.9254901960784314	0.9254901960784314	0.9246498599439776	0.9266106442577031	0.9224089635854342	0.9137254901960784	0.9254901960784314	0.9299719887955182	0.9201680672268908	0.9201680672268908	0.9299719887955182	0.9288515406162465	0.9235294117647059	0.9235294117647059	0.9266106442577031	0.0	0.0	0.0	0.0	0.9394957983193277	0.9330532212885154	0.9364145658263305	0.938655462184874	0.9394957983193277	0.938655462184874	0.9330532212885154	0.9319327731092437	0.9394957983193277	0.9330532212885154	0.938655462184874	0.938655462184874	0.9394957983193277	0.9394957983193277	0.0	0.9341736694677871	0.9406162464985994	0.938655462184874	0.9299719887955182	0.9394957983193277	0.9406162464985994	0.9364145658263305	0.9341736694677871	0.9439775910364145	0.9330532212885154	0.9417366946778711	0.9394957983193277	0.9319327731092437	0.9394957983193277	0.9394957983193277	0.9439775910364145	0.9224089635854342	0.9364145658263305	0.9330532212885154	0.9450980392156862	0.0	0.9439775910364145	0.9352941176470588	0.946218487394958	0.9492997198879551	0.9470588235294117	0.9492997198879551	0.0
D5ARP7	0.9190476190476191	0.9126050420168067	0.2773109243697479	0.25210084033613445	0.9364145658263305	0.9341736694677871	0.9254901960784314	0.3445378151260504	1.0	0.9310924369747899	0.9148459383753501	0.9212885154061625	0.8997198879551821	0.9406162464985994	0.9212885154061625	0.9212885154061625	0.911484593837535	0.9310924369747899	0.9341736694677871	0.8792717086834734	0.9148459383753501	0.9330532212885154	0.9330532212885154	0.9288515406162465	0.9299719887955182	0.9299719887955182	0.9299719887955182	0.9288515406162465	0.9288515406162465	0.9277310924369748	0.9224089635854342	0.9310924369747899	0.9310924369747899	0.9266106442577031	0.9310924369747899	0.9310924369747899	0.9266106442577031	0.9299719887955182	0.9319327731092437	0.9277310924369748	0.9277310924369748	0.9266106442577031	0.9277310924369748	0.9254901960784314	0.9299719887955182	0.9179271708683473	0.9235294117647059	0.9235294117647059	0.9224089635854342	0.9266106442577031	0.9246498599439776	0.9254901960784314	0.9137254901960784	0.9201680672268908	0.9224089635854342	0.9224089635854342	0.9201680672268908	0.9159663865546218	0.9170868347338935	0.9201680672268908	0.9095238095238095	0.9190476190476191	0.9212885154061625	0.9179271708683473	0.9235294117647059	0.9201680672268908	0.9212885154061625	0.9159663865546218	0.9190476190476191	0.9212885154061625	0.9212885154061625	0.9246498599439776	0.9212885154061625	0.9246498599439776	0.9201680672268908	0.9266106442577031	0.9235294117647059	0.9095238095238095	0.9235294117647059	0.9246498599439776	0.9224089635854342	0.9224089635854342	0.9148459383753501	0.9224089635854342	0.9235294117647059	0.9224089635854342	0.9212885154061625	0.9179271708683473	0.9299719887955182	0.9254901960784314	0.9330532212885154	0.0	0.9299719887955182	0.9341736694677871	0.9310924369747899	0.9439775910364145	0.9428571428571428	0.9364145658263305	0.9428571428571428	0.9406162464985994
D5QVH0	0.7324929971988796	0.946218487394958	0.9299719887955182	0.9470588235294117	0.7756302521008404	0.7896358543417368	0.7518207282913165	0.9126050420168067	0.9310924369747899	1.0	0.9450980392156862	0.9470588235294117	0.9439775910364145	0.9319327731092437	0.7714285714285715	0.734733893557423	0.7464985994397759	0.9439775910364145	0.9406162464985994	0.9450980392156862	0.7862745098039216	0.742296918767507	0.7442577030812325	0.7453781512605042	0.7400560224089636	0.7400560224089636	0.742296918767507	0.7431372549019608	0.7389355742296919	0.7411764705882353	0.7529411764705882	0.7291316526610645	0.7280112044817928	0.7324929971988796	0.7324929971988796	0.7291316526610645	0.7260504201680673	0.7495798319327731	0.7366946778711485	0.7389355742296919	0.7389355742296919	0.7518207282913165	0.7518207282913165	0.7431372549019608	0.7411764705882353	0.7540616246498599	0.7355742296918768	0.7355742296918768	0.7355742296918768	0.7204481792717087	0.7204481792717087	0.7442577030812325	0.788515406162465	0.780952380952381	0.7767507002801121	0.7658263305322129	0.7669467787114845	0.7495798319327731	0.742296918767507	0.7431372549019608	0.7431372549019608	0.7389355742296919	0.7355742296918768	0.7204481792717087	0.7442577030812325	0.7431372549019608	0.734733893557423	0.7291316526610645	0.7302521008403362	0.7366946778711485	0.7280112044817928	0.7198879551820728	0.7260504201680673	0.7336134453781513	0.7336134453781513	0.7302521008403362	0.7260504201680673	0.7476190476190476	0.7411764705882353	0.7378151260504202	0.7593837535014005	0.7464985994397759	0.7571428571428571	0.7355742296918768	0.7638655462184873	0.7873949579831933	0.7971988795518207	0.7831932773109244	0.7627450980392156	0.7896358543417368	0.742296918767507	0.6582633053221288	0.6638655462184874	0.5994397759103641	0.5882352941176471	0.7820728291316527	0.7831932773109244	0.7571428571428571	0.7487394957983193	0.8478991596638655
