query	Q27749	P02287	P02290	P04735	P06145	P06146	P07794	P13281	P16887	P16888	P02257	P06144	P07796	P15869	P15870	P19375	Q99284	A0A2G8JXS7	A0A2Z5U3Q6	A0A7M7NK35	A0A8B7Y813	A0A8B7Y9T9	A0A9Q1BUN4	P19376	Q99282	O13777	O13881	P02293	P04909	P04911	P04913	P34225	P36008	P38340	P53250	P53322	P53551	P53729	P0CN98	P48989	Q6CK60	Q6FWM7	Q6FWM8	Q74ZL4	Q74ZL5	Q6FJX6	Q75C22	Q8J0U2	Q9P8F8	Q9UV33	D2Y1X6	G5EDE1	P92507	Q18336	Q24255	Q2XQ09	A0A0P0E482	C0HJQ7	C0JAT9	P08515	P35068	Q05831	D2Y2C6	D2Y2Q6	P06894	P22975	P35060	P40265	Q86QH9	Q86QI0	Q86SE1	B3EWU8	D2Y2F4	P27204	S0F209	D4A3K5	P04908	P06349	P10412	P15865	P16402	P16403	P22492	P80294	Q07133	Q0V7M1	Q3HNG7	Q64478	Q75WM6	Q8CGP6	Q8CJI4	Q8IZA3	Q8N1T3	Q8VIK3	Q91YA2	Q92522	Q93079	Q9ULR3	P06348	P40286
Q27749	1.0	0.7884841363102233	0.6968272620446534	0.0	0.7708578143360751	0.7790834312573442	0.7873090481786134	0.9384253819036428	0.7802585193889542	0.800235017626322	0.9769682726204465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8084606345475911	0.9750881316098707	0.9750881316098707	0.8084606345475911	0.0	0.0	0.0	0.0	0.0	0.9792009400705053	0.0	0.0	0.8049353701527615	0.8108108108108107	0.9746180963572267	0.8049353701527615	0.9742655699177438	0.8072855464159812	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7920094007050529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9774383078730905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9787309048178613	0.7931844888366628	0.0	0.9774383078730905	0.0	0.0	0.0	0.0	0.0	0.0	0.7931844888366628	0.9777908343125734	0.0	0.0
P02287	0.7884841363102233	1.0	0.7978848413631022	0.9696827262044654	0.7967097532314924	0.8014101057579318	0.7790834312573442	0.0	0.799059929494712	0.7873090481786134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8025851938895417	0.9710928319623972	0.9719153936545241	0.8037602820211516	0.0	0.0	0.0	0.0	0.0	0.9792009400705053	0.0	0.9687426556991774	0.799059929494712	0.8072855464159812	0.9706227967097533	0.8037602820211516	0.9714453584018802	0.8049353701527615	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7837837837837838	0.9787309048178613	0.0	0.0	0.9774383078730905	0.0	0.0	0.0	0.9782608695652174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9710928319623972	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9792009400705053	0.7755581668625147	0.0	0.9710928319623972	0.0	0.0	0.0	0.0	0.0	0.0	0.7743830787309048	0.0	0.0	0.0
P02290	0.6968272620446534	0.7978848413631022	1.0	0.9733254994124559	0.7673325499412456	0.7755581668625147	0.7861339600470035	0.9501762632197415	0.7779083431257344	0.7967097532314924	0.9764982373678026	0.0	0.0	0.0	0.0	0.0	0.9796709753231493	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8096357226792009	0.972855464159812	0.972855464159812	0.8084606345475911	0.9792009400705053	0.0	0.0	0.0	0.0	0.9777908343125734	0.0	0.9706227967097533	0.8084606345475911	0.8119858989424207	0.9714453584018802	0.8061104582843713	0.972855464159812	0.8084606345475911	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7908343125734429	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9750881316098707	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7908343125734429	0.0	0.9750881316098707	0.0	0.0	0.0	0.0	0.0	0.0	0.7908343125734429	0.9787309048178613	0.0	0.0
P04735	0.0	0.9696827262044654	0.9733254994124559	1.0	0.9750881316098707	0.0	0.9706227967097533	0.0	0.0	0.0	0.0	0.0	0.9750881316098707	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9792009400705053	0.9792009400705053	0.0	0.0	0.0	0.9787309048178613	0.0	0.9719153936545241	0.7802585193889542	0.7802585193889542	0.9719153936545241	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7849588719153937	0.9719153936545241	0.9719153936545241	0.781433607520564	0.9714453584018802	0.7708578143360751	0.9710928319623972	0.0	0.0	0.0	0.9750881316098707	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9701527614571093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7508813160987073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9701527614571093	0.0	0.7508813160987073	0.0	0.0	0.0	0.9796709753231493	0.0	0.0	0.9701527614571093	0.0	0.0	0.0
P06145	0.7708578143360751	0.7967097532314924	0.7673325499412456	0.9750881316098707	1.0	0.7779083431257344	0.782608695652174	0.9479435957696827	0.7779083431257344	0.7967097532314924	0.9787309048178613	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8072855464159812	0.9737955346650999	0.9737955346650999	0.8119858989424207	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8072855464159812	0.8096357226792009	0.9723854289071681	0.8061104582843713	0.9737955346650999	0.8072855464159812	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7908343125734429	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9760282021151586	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7873090481786134	0.0	0.9760282021151586	0.0	0.0	0.0	0.0	0.0	0.0	0.7873090481786134	0.0	0.0	0.0
P06146	0.7790834312573442	0.8014101057579318	0.7755581668625147	0.0	0.7779083431257344	1.0	0.7920094007050529	0.9669800235017626	0.7285546415981199	0.8061104582843713	0.9719153936545241	0.0	0.0	0.0	0.9787309048178613	0.0	0.9706227967097533	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8108108108108107	0.0	0.9746180963572267	0.8143360752056404	0.0	0.0	0.0	0.0	0.0	0.9792009400705053	0.0	0.9733254994124559	0.8108108108108107	0.8119858989424207	0.9746180963572267	0.8108108108108107	0.9742655699177438	0.8096357226792009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7967097532314924	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9737955346650999	0.0	0.9777908343125734	0.9787309048178613	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7873090481786134	0.0	0.9737955346650999	0.0	0.0	0.0	0.0	0.0	0.0	0.7873090481786134	0.0	0.0	0.0
P07794	0.7873090481786134	0.7790834312573442	0.7861339600470035	0.9706227967097533	0.782608695652174	0.7920094007050529	1.0	0.0	0.7955346650998825	0.7837837837837838	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8037602820211516	0.9714453584018802	0.9719153936545241	0.8037602820211516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9692126909518214	0.8014101057579318	0.8025851938895417	0.9706227967097533	0.799059929494712	0.9679200940070505	0.7978848413631022	0.9792009400705053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7802585193889542	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9714453584018802	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9796709753231493	0.7790834312573442	0.0	0.9714453584018802	0.0	0.0	0.0	0.0	0.0	0.0	0.7790834312573442	0.0	0.0	0.0
P13281	0.9384253819036428	0.0	0.9501762632197415	0.0	0.9479435957696827	0.9669800235017626	0.0	1.0	0.9706227967097533	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9809635722679201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9806110458284372	0.0	0.0
P16887	0.7802585193889542	0.799059929494712	0.7779083431257344	0.0	0.7779083431257344	0.7285546415981199	0.7955346650998825	0.9706227967097533	1.0	0.8049353701527615	0.9769682726204465	0.0	0.0	0.0	0.0	0.0	0.9746180963572267	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8155111633372503	0.9746180963572267	0.9755581668625147	0.8190364277320799	0.9787309048178613	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8131609870740306	0.8166862514688602	0.9742655699177438	0.8155111633372503	0.9737955346650999	0.8143360752056404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7931844888366628	0.0	0.0	0.0	0.0	0.0	0.9777908343125734	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9742655699177438	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9782608695652174	0.0	0.7908343125734429	0.0	0.9746180963572267	0.0	0.0	0.0	0.0	0.0	0.0	0.7920094007050529	0.0	0.0	0.0
P16888	0.800235017626322	0.7873090481786134	0.7967097532314924	0.0	0.7967097532314924	0.8061104582843713	0.7837837837837838	0.0	0.8049353701527615	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7967097532314924	0.9719153936545241	0.0	0.799059929494712	0.0	0.0	0.0	0.0	0.0	0.9792009400705053	0.0	0.0	0.7967097532314924	0.800235017626322	0.0	0.7943595769682726	0.0	0.7967097532314924	0.0	0.9792009400705053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9787309048178613	0.0	0.0	0.0	0.7779083431257344	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9796709753231493	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9742655699177438	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9755581668625147	0.9764982373678026	0.7661574618096357	0.0	0.9742655699177438	0.0	0.0	0.0	0.0	0.9755581668625147	0.0	0.7661574618096357	0.0	0.0	0.0
