query	Q27749	P02287	P02290	P04735	P06145	P06146	P07794	P13281	P16887	P16888	P02257	P06144	P07796	P15869	P15870	P19375	Q99284	A0A2G8JXS7	A0A2Z5U3Q6	A0A7M7NK35	A0A8B7Y813	A0A8B7Y9T9	A0A9Q1BUN4	P19376	Q99282	O13777	O13881	P02293	P04909	P04911	P04913	P34225	P36008	P38340	P53250	P53322	P53551	P53729	P0CN98	P48989	Q6CK60	Q6FWM7	Q6FWM8	Q74ZL4	Q74ZL5	Q6FJX6	Q75C22	Q8J0U2	Q9P8F8	Q9UV33	D2Y1X6	G5EDE1	P92507	Q18336	Q24255	Q2XQ09	A0A0P0E482	C0HJQ7	C0JAT9	P08515	P35068	Q05831	D2Y2C6	D2Y2Q6	P06894	P22975	P35060	P40265	Q86QH9	Q86QI0	Q86SE1	B3EWU8	D2Y2F4	P27204	S0F209	D4A3K5	P04908	P06349	P10412	P15865	P16402	P16403	P22492	P80294	Q07133	Q0V7M1	Q3HNG7	Q64478	Q75WM6	Q8CGP6	Q8CJI4	Q8IZA3	Q8N1T3	Q8VIK3	Q91YA2	Q92522	Q93079	Q9ULR3	P06348	P40286
Q27749	0.0	180.0	258.0		195.0	188.0	181.0	52.4	187.0	170.0	19.6																	163.0	21.2	21.2	163.0						17.7			166.0	161.0	21.6	166.0	21.9	164.0																177.0																19.2										18.1	176.0		19.2							176.0	18.9		
P02287	180.0	0.0	172.0	25.8	173.0	169.0	188.0		171.0	181.0																		168.0	24.6	23.9	167.0						17.7		26.6	171.0	164.0	25.0	167.0	24.3	166.0																184.0	18.1			19.2				18.5								24.6										17.7	191.0		24.6							192.0			
P02290	258.0	172.0	0.0	22.7	198.0	191.0	182.0	42.4	189.0	173.0	20.0						17.3											162.0	23.1	23.1	163.0	17.7					18.9		25.0	163.0	160.0	24.3	165.0	23.1	163.0																178.0																21.2											178.0		21.2							178.0	18.1		
P04735		25.8	22.7	0.0	21.2		25.0						21.2								17.7	17.7				18.1		23.9	187.0	187.0	23.9								183.0	23.9	23.9	186.0	24.3	195.0	24.6				21.2												25.4																212.0											25.4		212.0				17.3			25.4			
P06145	195.0	173.0	198.0	21.2	0.0	189.0	185.0	44.3	189.0	173.0	18.1																	164.0	22.3	22.3	160.0									164.0	162.0	23.5	165.0	22.3	164.0																178.0																20.4											181.0		20.4							181.0			
P06146	188.0	169.0	191.0		189.0	0.0	177.0	28.1	231.0	165.0	23.9				18.1		25.0											161.0		21.6	158.0						17.7		22.7	161.0	160.0	21.6	161.0	21.9	162.0																173.0																22.3		18.9	18.1								181.0		22.3							181.0			
P07794	181.0	188.0	182.0	25.0	185.0	177.0	0.0		174.0	184.0																		167.0	24.3	23.9	167.0								26.2	169.0	168.0	25.0	171.0	27.3	172.0	17.7															187.0																24.3										17.3	188.0		24.3							188.0			
P13281	52.4		42.4		44.3	28.1		0.0	25.0																																																																							16.2																		16.5		
P16887	187.0	171.0	189.0		189.0	231.0	174.0	25.0	0.0	166.0	19.6						21.6											157.0	21.6	20.8	154.0	18.1								159.0	156.0	21.9	157.0	22.3	158.0																176.0						18.9										21.9									18.5		178.0		21.6							177.0			
P16888	170.0	181.0	173.0		173.0	165.0	184.0		166.0	0.0																		173.0	23.9		171.0						17.7			173.0	170.0		175.0		173.0		17.7										18.1				189.0								17.3								21.9									20.8	20.0	199.0		21.9					20.8		199.0			
P02257	19.6		20.0		18.1	23.9			19.6		0.0	77.4	79.0	66.2	61.6	66.2	120.0	20.0	63.9	21.2	25.8	25.4	22.3	17.7	41.2												30.4									28.5	30.8	42.0	38.5	38.1			19.6	67.0	22.3							52.8			70.9	40.8	63.5	72.4	52.0	48.1						40.4		36.2	52.8	54.3	50.8	51.2	40.4		37.4		53.5		20.8		24.6	52.4		42.0		36.6			39.3	42.0
