query	Q27749	P02287	P02290	P04735	P06145	P06146	P07794	P13281	P16887	P16888	P02257	P06144	P07796	P15869	P15870	P19375	Q99284	A0A2G8JXS7	A0A2Z5U3Q6	A0A7M7NK35	A0A8B7Y813	A0A8B7Y9T9	A0A9Q1BUN4	P19376	Q99282	O13777	O13881	P02293	P04909	P04911	P04913	P34225	P36008	P38340	P53250	P53322	P53551	P53729	P0CN98	P48989	Q6CK60	Q6FWM7	Q6FWM8	Q74ZL4	Q74ZL5	Q6FJX6	Q75C22	Q8J0U2	Q9P8F8	Q9UV33	D2Y1X6	G5EDE1	P92507	Q18336	Q24255	Q2XQ09	A0A0P0E482	C0HJQ7	C0JAT9	P08515	P35068	Q05831	D2Y2C6	D2Y2Q6	P06894	P22975	P35060	P40265	Q86QH9	Q86QI0	Q86SE1	B3EWU8	D2Y2F4	P27204	S0F209	D4A3K5	P04908	P06349	P10412	P15865	P16402	P16403	P22492	P80294	Q07133	Q0V7M1	Q3HNG7	Q64478	Q75WM6	Q8CGP6	Q8CJI4	Q8IZA3	Q8N1T3	Q8VIK3	Q91YA2	Q92522	Q93079	Q9ULR3	P06348	P40286
Q27749	0.0	0.21151586368977673	0.30317273795534666	0.0	0.2291421856639248	0.2209165687426557	0.21269095182138661	0.061574618096357225	0.21974148061104584	0.199764982373678	0.023031727379553467	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19153936545240893	0.02491186839012926	0.02491186839012926	0.19153936545240893	0.0	0.0	0.0	0.0	0.0	0.020799059929494712	0.0	0.0	0.19506462984723855	0.1891891891891892	0.02538190364277321	0.19506462984723855	0.025734430082256166	0.1927144535840188	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20799059929494712	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02256169212690952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021269095182138664	0.20681551116333724	0.0	0.02256169212690952	0.0	0.0	0.0	0.0	0.0	0.0	0.20681551116333724	0.022209165687426556	0.0	0.0
P02287	0.21151586368977673	0.0	0.20211515863689777	0.030317273795534665	0.20329024676850763	0.19858989424206816	0.2209165687426557	0.0	0.2009400705052879	0.21269095182138661	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19741480611045828	0.02890716803760282	0.02808460634547591	0.19623971797884843	0.0	0.0	0.0	0.0	0.0	0.020799059929494712	0.0	0.03125734430082256	0.2009400705052879	0.1927144535840188	0.02937720329024677	0.19623971797884843	0.02855464159811986	0.19506462984723855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21621621621621623	0.021269095182138664	0.0	0.0	0.02256169212690952	0.0	0.0	0.0	0.021739130434782608	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02890716803760282	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.020799059929494712	0.2244418331374853	0.0	0.02890716803760282	0.0	0.0	0.0	0.0	0.0	0.0	0.2256169212690952	0.0	0.0	0.0
P02290	0.30317273795534666	0.20211515863689777	0.0	0.026674500587544066	0.23266745005875442	0.2244418331374853	0.21386603995299647	0.04982373678025852	0.22209165687426558	0.20329024676850763	0.023501762632197415	0.0	0.0	0.0	0.0	0.0	0.020329024676850764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19036427732079905	0.027144535840188017	0.027144535840188017	0.19153936545240893	0.020799059929494712	0.0	0.0	0.0	0.0	0.022209165687426556	0.0	0.02937720329024677	0.19153936545240893	0.18801410105757932	0.02855464159811986	0.19388954171562867	0.027144535840188017	0.19153936545240893	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.209165687426557	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02491186839012926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.209165687426557	0.0	0.02491186839012926	0.0	0.0	0.0	0.0	0.0	0.0	0.209165687426557	0.021269095182138664	0.0	0.0
P04735	0.0	0.030317273795534665	0.026674500587544066	0.0	0.02491186839012926	0.0	0.02937720329024677	0.0	0.0	0.0	0.0	0.0	0.02491186839012926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.020799059929494712	0.020799059929494712	0.0	0.0	0.0	0.021269095182138664	0.0	0.02808460634547591	0.21974148061104584	0.21974148061104584	0.02808460634547591	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21504112808460635	0.02808460634547591	0.02808460634547591	0.21856639247943596	0.02855464159811986	0.2291421856639248	0.02890716803760282	0.0	0.0	0.0	0.02491186839012926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029847238542890717	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2491186839012926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029847238542890717	0.0	0.2491186839012926	0.0	0.0	0.0	0.020329024676850764	0.0	0.0	0.029847238542890717	0.0	0.0	0.0
P06145	0.2291421856639248	0.20329024676850763	0.23266745005875442	0.02491186839012926	0.0	0.22209165687426558	0.21739130434782608	0.05205640423031727	0.22209165687426558	0.20329024676850763	0.021269095182138664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1927144535840188	0.026204465334900118	0.026204465334900118	0.18801410105757932	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1927144535840188	0.19036427732079905	0.027614571092831962	0.19388954171562867	0.026204465334900118	0.1927144535840188	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.209165687426557	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023971797884841363	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21269095182138661	0.0	0.023971797884841363	0.0	0.0	0.0	0.0	0.0	0.0	0.21269095182138661	0.0	0.0	0.0
P06146	0.2209165687426557	0.19858989424206816	0.2244418331374853	0.0	0.22209165687426558	0.0	0.20799059929494712	0.03301997649823737	0.27144535840188017	0.19388954171562867	0.02808460634547591	0.0	0.0	0.0	0.021269095182138664	0.0	0.02937720329024677	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1891891891891892	0.0	0.02538190364277321	0.18566392479435959	0.0	0.0	0.0	0.0	0.0	0.020799059929494712	0.0	0.026674500587544066	0.1891891891891892	0.18801410105757932	0.02538190364277321	0.1891891891891892	0.025734430082256166	0.19036427732079905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20329024676850763	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.026204465334900118	0.0	0.022209165687426556	0.021269095182138664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21269095182138661	0.0	0.026204465334900118	0.0	0.0	0.0	0.0	0.0	0.0	0.21269095182138661	0.0	0.0	0.0
P07794	0.21269095182138661	0.2209165687426557	0.21386603995299647	0.02937720329024677	0.21739130434782608	0.20799059929494712	0.0	0.0	0.2044653349001175	0.21621621621621623	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19623971797884843	0.02855464159811986	0.02808460634547591	0.19623971797884843	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.030787309048178613	0.19858989424206816	0.19741480611045828	0.02937720329024677	0.2009400705052879	0.03207990599294947	0.20211515863689777	0.020799059929494712	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21974148061104584	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02855464159811986	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.020329024676850764	0.2209165687426557	0.0	0.02855464159811986	0.0	0.0	0.0	0.0	0.0	0.0	0.2209165687426557	0.0	0.0	0.0
P13281	0.061574618096357225	0.0	0.04982373678025852	0.0	0.05205640423031727	0.03301997649823737	0.0	0.0	0.02937720329024677	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019036427732079905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019388954171562868	0.0	0.0
P16887	0.21974148061104584	0.2009400705052879	0.22209165687426558	0.0	0.22209165687426558	0.27144535840188017	0.2044653349001175	0.02937720329024677	0.0	0.19506462984723855	0.023031727379553467	0.0	0.0	0.0	0.0	0.0	0.02538190364277321	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1844888366627497	0.02538190364277321	0.02444183313748531	0.1809635722679201	0.021269095182138664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18683901292596944	0.18331374853113983	0.025734430082256166	0.1844888366627497	0.026204465334900118	0.18566392479435959	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20681551116333724	0.0	0.0	0.0	0.0	0.0	0.022209165687426556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025734430082256166	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021739130434782608	0.0	0.209165687426557	0.0	0.02538190364277321	0.0	0.0	0.0	0.0	0.0	0.0	0.20799059929494712	0.0	0.0	0.0
P16888	0.199764982373678	0.21269095182138661	0.20329024676850763	0.0	0.20329024676850763	0.19388954171562867	0.21621621621621623	0.0	0.19506462984723855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20329024676850763	0.02808460634547591	0.0	0.2009400705052879	0.0	0.0	0.0	0.0	0.0	0.020799059929494712	0.0	0.0	0.20329024676850763	0.199764982373678	0.0	0.2056404230317274	0.0	0.20329024676850763	0.0	0.020799059929494712	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021269095182138664	0.0	0.0	0.0	0.22209165687426558	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.020329024676850764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025734430082256166	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02444183313748531	0.023501762632197415	0.23384253819036427	0.0	0.025734430082256166	0.0	0.0	0.0	0.0	0.02444183313748531	0.0	0.23384253819036427	0.0	0.0	0.0
