query	ABC1-Q03024	ABC1-C1DS84	ABC1-Q54456	ABC1-Q9RHT2	ABC1-Q9ZG94	ABC1-O67184	ABC1-Q9Z3C5	ABC1-O05693	ABC1-P23596	ABC1-O85350	ABC1-Q53368	ABC1-Q88RG3	ABC1-F0R9C2	ABC1-Q72J04	ABC1-P73239	ABC1-P18770	ABC1-O53645	ABC1-Q8T9W4	ABC1-Q9XUJ1	ABC1-P63391	ABC1-Q9NP58	ABC1-A3DCU1	ABC1-Q1LRE9	ABC1-O75027	ABC1-Q9LVM1	ABC2a-P72884	ABC2a-Q50863	ABC2a-Q1D3I3	ABC2a-Q48476	ABC2a-Q9I3V8	ABC2a-Q6E7E8	ABC2a-P42954	ABC2a-D1GQ17	ABC2a-P24586	ABC2a-B3FHE0	ABC2a-P42332	ABC2a-A8GZV2	ABC2a-P46903	ABC2a-Q8IUA7	ABC2a-B5YBB1	ABC2a-J8ABC0	ABC2a-B8D1W5	ABC2a-F8FLY7	ABC2a-Q53716	ABC2a-P94440	ABC2a-O30385	ABC2a-AKM77948	ABC2a-Q18BL2	ABC2a-E8R694	ABC2a-P50332	ABC2b-A9SCA8	ABC2b-Q9C6W5	ABC2b-Q84TH5	ABC2b-Q9C8J8	ABC2b-Q9C8K2	ABC2b-P10090	ABC2b-Q9UNQ0	ABC2b-Q8RXN0	ABC2b-Q9FNB5	ABC2b-P25371	ABC2b-Q9M3D6	ABC2b-I0DHI9	ABC2b-A9YWR6	ABC2b-D3GE74	ABC2b-Q9M2V7	ABC2b-Q55DW4	ABC2b-H9BZ66	ABC2b-G7LE38	ABC2b-Q9H221	ABC2b-A4HWI7	ABC2b-Q11180	ABC2b-A8WEV1	ABC2b-P45844	ABC2b-S6BKX3	ABC2b-Q9H222	ABC3-Q973J6	ABC3-E6N374	ABC3-Q58206	ABC3-Q8TM30	ABC3-Q8DQF8	ABC3-B8GHI2	ABC3-A8TDW7	ABC3-O34392	ABC3-RCX16582	ABC3-O31711	ABC3-Q73MJ2	ABC3-OLS22653	ABC3-Q8Y5F0	ABC3-Q8VUH2	ABC3-Q03RZ6	ABC3-O34697	ABC3-D6ZUW6	ABC3-B2J284	ABC3-OLS17115	ABC3-P75831	ABC3-RDE13438	ABC3-N9J6M5	ABC3-A3MWP1	ABC3-Q8RKC1	ABC3-Q9RL74
ABC1-Q03024	0.0	0.7737226277372263	0.708029197080292	0.6934306569343066	0.6678832116788321	0.7226277372262774	0.6605839416058394	0.6386861313868614	0.6131386861313869	0.6751824817518248	0.45985401459854014	0.4306569343065693	0.4562043795620438	0.4343065693430657	0.44525547445255476	0.4343065693430657	0.4233576642335766	0.43795620437956206	0.4416058394160584	0.4124087591240876	0.42700729927007297	0.4744525547445255	0.4233576642335766	0.4124087591240876	0.4416058394160584	0.11094890510948904	0.17445255474452553	0.17445255474452553	0.09124087591240876	0.12226277372262774	0.12773722627737227	0.1178832116788321	0.10401459854014598	0.1178832116788321	0.11934306569343067	0.20255474452554745	0.17445255474452553	0.21350364963503649	0.20364963503649633	0.23759124087591238	0.23759124087591238	0.24598540145985404	0.19963503649635037	0.16167883211678832	0.2248175182481752	0.20802919708029197	0.17153284671532848	0.20109489051094892	0.18394160583941604	0.2124087591240876	0.19124087591240876	0.16715328467153284	0.2094890510948905	0.16313868613138688	0.16167883211678832	0.18832116788321168	0.1364963503649635	0.1927007299270073	0.17846715328467153	0.18138686131386864	0.18138686131386864	0.14744525547445256	0.19124087591240876	0.21496350364963504	0.16313868613138688	0.19124087591240876	0.2124087591240876	0.20364963503649633	0.1897810218978102	0.172992700729927	0.17153284671532848	0.17445255474452553	0.19671532846715328	0.17992700729927005	0.16569343065693432	0.22627737226277372	0.2051094890510949	0.23065693430656936	0.1981751824817518	0.2094890510948905	0.20656934306569344	0.23613138686131388	0.21934306569343065	0.18138686131386864	0.23759124087591238	0.20109489051094892	0.17554744525547447	0.23759124087591238	0.20255474452554745	0.2291970802919708	0.26277372262773724	0.2124087591240876	0.21496350364963504	0.23321167883211677	0.2291970802919708	0.21642335766423357	0.20109489051094892	0.19124087591240876	0.21350364963503649	0.23759124087591238
ABC1-C1DS84	0.7737226277372263	0.0	0.7262773722627737	0.7299270072992701	0.6970802919708029	0.7372262773722628	0.6824817518248175	0.6204379562043796	0.6715328467153284	0.6897810218978102	0.4635036496350365	0.44525547445255476	0.4197080291970803	0.4197080291970803	0.4635036496350365	0.4744525547445255	0.45255474452554745	0.42700729927007297	0.4562043795620438	0.4124087591240876	0.4562043795620438	0.4708029197080292	0.44525547445255476	0.4416058394160584	0.44525547445255476	0.13759124087591243	0.16569343065693432	0.16569343065693432	0.12664233576642336	0.15328467153284672	0.15729927007299271	0.16167883211678832	0.12664233576642336	0.11386861313868613	0.13065693430656933	0.20656934306569344	0.20656934306569344	0.21934306569343065	0.22335766423357664	0.25583941605839416	0.24051094890510952	0.23321167883211677	0.24598540145985404	0.172992700729927	0.19525547445255476	0.19671532846715328	0.20109489051094892	0.25583941605839416	0.2208029197080292	0.24744525547445254	0.19963503649635037	0.17153284671532848	0.20656934306569344	0.1854014598540146	0.18284671532846716	0.20255474452554745	0.1291970802919708	0.23613138686131388	0.19671532846715328	0.172992700729927	0.20109489051094892	0.16167883211678832	0.20255474452554745	0.2291970802919708	0.1927007299270073	0.17992700729927005	0.19124087591240876	0.2514598540145986	0.19124087591240876	0.1897810218978102	0.1897810218978102	0.15328467153284672	0.2051094890510949	0.18686131386861315	0.16167883211678832	0.2291970802919708	0.24306569343065693	0.24744525547445254	0.24598540145985404	0.23065693430656936	0.21642335766423357	0.25583941605839416	0.2671532846715329	0.20364963503649633	0.25437956204379564	0.24744525547445254	0.177007299270073	0.24890510948905112	0.25583941605839416	0.20109489051094892	0.25291970802919705	0.24452554744525548	0.21788321167883212	0.23613138686131388	0.21934306569343065	0.23613138686131388	0.19671532846715328	0.21934306569343065	0.2124087591240876	0.23467153284671532
ABC1-Q54456	0.708029197080292	0.7262773722627737	0.0	0.7043795620437956	0.6897810218978102	0.7007299270072993	0.6751824817518248	0.6459854014598541	0.6605839416058394	0.6970802919708029	0.4635036496350365	0.44525547445255476	0.44525547445255476	0.38686131386861317	0.4051094890510949	0.43795620437956206	0.42700729927007297	0.38686131386861317	0.43795620437956206	0.44525547445255476	0.4708029197080292	0.4051094890510949	0.40145985401459855	0.3905109489051095	0.4197080291970803	0.13759124087591243	0.12773722627737227	0.12773722627737227	0.10693430656934307	0.16167883211678832	0.15474452554744525	0.15182481751824817	0.10693430656934307	0.09124087591240876	0.15474452554744525	0.21788321167883212	0.1981751824817518	0.2248175182481752	0.2051094890510949	0.22335766423357664	0.2291970802919708	0.2291970802919708	0.20364963503649633	0.17153284671532848	0.20656934306569344	0.19963503649635037	0.18284671532846716	0.21788321167883212	0.1897810218978102	0.2218978102189781	0.2291970802919708	0.15182481751824817	0.19525547445255476	0.17445255474452553	0.17554744525547447	0.18832116788321168	0.11678832116788321	0.18284671532846716	0.16021897810218977	0.16313868613138688	0.1927007299270073	0.10693430656934307	0.1645985401459854	0.19124087591240876	0.16313868613138688	0.172992700729927	0.19525547445255476	0.2503649635036496	0.1937956204379562	0.17846715328467153	0.19671532846715328	0.19124087591240876	0.15474452554744525	0.18284671532846716	0.1645985401459854	0.23613138686131388	0.23467153284671532	0.24744525547445254	0.2051094890510949	0.17846715328467153	0.23321167883211677	0.25583941605839416	0.24306569343065693	0.2416058394160584	0.25437956204379564	0.2218978102189781	0.21094890510948905	0.24598540145985404	0.2208029197080292	0.21496350364963504	0.26423357664233577	0.22773722627737225	0.24598540145985404	0.20364963503649633	0.2094890510948905	0.20255474452554745	0.17554744525547447	0.20656934306569344	0.21788321167883212	0.24598540145985404
ABC1-Q9RHT2	0.6934306569343066	0.7299270072992701	0.7043795620437956	0.0	0.6897810218978102	0.6642335766423357	0.572992700729927	0.6058394160583942	0.6715328467153284	0.6678832116788321	0.5218978102189781	0.4489051094890511	0.41605839416058393	0.40145985401459855	0.4197080291970803	0.45985401459854014	0.38321167883211676	0.4051094890510949	0.42700729927007297	0.36277372262773727	0.48905109489051096	0.45985401459854014	0.4197080291970803	0.4233576642335766	0.40875912408759124	0.141970802919708	0.17445255474452553	0.17445255474452553	0.11386861313868613	0.15036496350364964	0.15875912408759124	0.14343065693430657	0.14343065693430657	0.12664233576642336	0.141970802919708	0.23759124087591238	0.1927007299270073	0.19671532846715328	0.20364963503649633	0.22773722627737225	0.20364963503649633	0.21788321167883212	0.23905109489051096	0.18138686131386864	0.18394160583941604	0.18138686131386864	0.17554744525547447	0.23065693430656936	0.1897810218978102	0.25291970802919705	0.17554744525547447	0.17153284671532848	0.1854014598540146	0.18284671532846716	0.15182481751824817	0.172992700729927	0.13211678832116788	0.18832116788321168	0.1686131386861314	0.18832116788321168	0.18686131386861315	0.141970802919708	0.19525547445255476	0.2124087591240876	0.15583941605839416	0.15875912408759124	0.20255474452554745	0.24051094890510952	0.1981751824817518	0.15729927007299271	0.1686131386861314	0.20656934306569344	0.18284671532846716	0.15182481751824817	0.12226277372262774	0.2291970802919708	0.24744525547445254	0.2094890510948905	0.21642335766423357	0.23467153284671532	0.19124087591240876	0.23467153284671532	0.2598540145985402	0.20656934306569344	0.2514598540145986	0.21934306569343065	0.16313868613138688	0.2656934306569343	0.24598540145985404	0.2218978102189781	0.21788321167883212	0.23065693430656936	0.2208029197080292	0.22627737226277372	0.20802919708029197	0.23905109489051096	0.19525547445255476	0.20255474452554745	0.21788321167883212	0.21350364963503649
ABC1-Q9ZG94	0.6678832116788321	0.6970802919708029	0.6897810218978102	0.6897810218978102	0.0	0.6277372262773723	0.6094890510948905	0.6386861313868614	0.6240875912408759	0.6459854014598541	0.49635036496350365	0.4306569343065693	0.4197080291970803	0.35839416058394163	0.4233576642335766	0.4562043795620438	0.43795620437956206	0.36496350364963503	0.4489051094890511	0.3905109489051095	0.44525547445255476	0.4124087591240876	0.4343065693430657	0.40875912408759124	0.4197080291970803	0.1208029197080292	0.13759124087591243	0.13759124087591243	0.13065693430656933	0.15474452554744525	0.14489051094890512	0.14890510948905109	0.11386861313868613	0.08978102189781022	0.16167883211678832	0.2094890510948905	0.20255474452554745	0.2094890510948905	0.21642335766423357	0.21496350364963504	0.21094890510948905	0.18832116788321168	0.21350364963503649	0.14890510948905109	0.20802919708029197	0.20802919708029197	0.19124087591240876	0.23905109489051096	0.1927007299270073	0.21788321167883212	0.16313868613138688	0.15729927007299271	0.17992700729927005	0.16021897810218977	0.14890510948905109	0.19525547445255476	0.1208029197080292	0.19124087591240876	0.21094890510948905	0.20656934306569344	0.1937956204379562	0.1364963503649635	0.18138686131386864	0.2208029197080292	0.20364963503649633	0.18832116788321168	0.20109489051094892	0.21934306569343065	0.17153284671532848	0.15583941605839416	0.22335766423357664	0.172992700729927	0.20109489051094892	0.17007299270072992	0.21350364963503649	0.23467153284671532	0.23175182481751824	0.20802919708029197	0.19525547445255476	0.1927007299270073	0.21350364963503649	0.2124087591240876	0.24598540145985404	0.1937956204379562	0.2587591240875913	0.2248175182481752	0.16167883211678832	0.24051094890510952	0.27262773722627737	0.2291970802919708	0.24452554744525548	0.22773722627737225	0.2124087591240876	0.2248175182481752	0.24890510948905112	0.2124087591240876	0.19963503649635037	0.19671532846715328	0.19671532846715328	0.23613138686131388
ABC1-O67184	0.7226277372262774	0.7372262773722628	0.7007299270072993	0.6642335766423357	0.6277372262773723	0.0	0.6678832116788321	0.5912408759124088	0.6094890510948905	0.656934306569343	0.4124087591240876	0.43795620437956206	0.4306569343065693	0.3978102189781022	0.44525547445255476	0.4708029197080292	0.4343065693430657	0.4343065693430657	0.4416058394160584	0.3795620437956204	0.4343065693430657	0.4708029197080292	0.39416058394160586	0.4051094890510949	0.3978102189781022	0.13211678832116788	0.18284671532846716	0.18284671532846716	0.12372262773722627	0.15875912408759124	0.13905109489051096	0.1208029197080292	0.10802919708029197	0.13065693430656933	0.13211678832116788	0.2051094890510949	0.19124087591240876	0.22335766423357664	0.24306569343065693	0.22627737226277372	0.2218978102189781	0.20109489051094892	0.19525547445255476	0.17992700729927005	0.18686131386861315	0.21934306569343065	0.21350364963503649	0.2124087591240876	0.23065693430656936	0.23065693430656936	0.1981751824817518	0.17554744525547447	0.23613138686131388	0.17846715328467153	0.1897810218978102	0.17445255474452553	0.15328467153284672	0.2051094890510949	0.16313868613138688	0.1927007299270073	0.16313868613138688	0.16569343065693432	0.177007299270073	0.21350364963503649	0.1645985401459854	0.23175182481751824	0.2248175182481752	0.26423357664233577	0.19963503649635037	0.19525547445255476	0.1937956204379562	0.16569343065693432	0.2051094890510949	0.1927007299270073	0.18138686131386864	0.28102189781021897	0.27262773722627737	0.28941605839416057	0.2952554744525548	0.2697080291970803	0.27262773722627737	0.27846715328467153	0.2697080291970803	0.22335766423357664	0.26861313868613135	0.23467153284671532	0.23613138686131388	0.2572992700729927	0.2755474452554745	0.25583941605839416	0.2740875912408759	0.3007299270072993	0.26423357664233577	0.2854014598540146	0.23467153284671532	0.25583941605839416	0.23175182481751824	0.24306569343065693	0.24598540145985404	0.27262773722627737
ABC1-Q9Z3C5	0.6605839416058394	0.6824817518248175	0.6751824817518248	0.572992700729927	0.6094890510948905	0.6678832116788321	0.0	0.6204379562043796	0.5547445255474452	0.6861313868613139	0.40875912408759124	0.3686131386861314	0.4416058394160584	0.3529197080291971	0.4124087591240876	0.36496350364963503	0.4343065693430657	0.3686131386861314	0.4306569343065693	0.3905109489051095	0.45255474452554745	0.3759124087591241	0.4343065693430657	0.38686131386861317	0.41605839416058393	0.12664233576642336	0.12226277372262774	0.12226277372262774	0.10255474452554746	0.10255474452554746	0.1178832116788321	0.09562043795620438	0.0843065693430657	0.09416058394160584	0.12773722627737227	0.1686131386861314	0.17445255474452553	0.23321167883211677	0.19525547445255476	0.2124087591240876	0.21934306569343065	0.1854014598540146	0.17445255474452553	0.13065693430656933	0.2208029197080292	0.14890510948905109	0.1686131386861314	0.17846715328467153	0.18832116788321168	0.21496350364963504	0.1854014598540146	0.1686131386861314	0.18394160583941604	0.14890510948905109	0.177007299270073	0.14489051094890512	0.13357664233576644	0.16715328467153284	0.15328467153284672	0.16313868613138688	0.1686131386861314	0.1364963503649635	0.1645985401459854	0.20255474452554745	0.13759124087591243	0.16569343065693432	0.2124087591240876	0.21642335766423357	0.2124087591240876	0.19124087591240876	0.14890510948905109	0.15875912408759124	0.17846715328467153	0.18832116788321168	0.145985401459854	0.2094890510948905	0.2291970802919708	0.20802919708029197	0.21934306569343065	0.19525547445255476	0.18394160583941604	0.21094890510948905	0.24598540145985404	0.19963503649635037	0.21496350364963504	0.1981751824817518	0.1927007299270073	0.20802919708029197	0.24306569343065693	0.21642335766423357	0.23065693430656936	0.20109489051094892	0.20255474452554745	0.2124087591240876	0.20656934306569344	0.20109489051094892	0.17445255474452553	0.2094890510948905	0.21934306569343065	0.24598540145985404
ABC1-O05693	0.6386861313868614	0.6204379562043796	0.6459854014598541	0.6058394160583942	0.6386861313868614	0.5912408759124088	0.6204379562043796	0.0	0.583941605839416	0.6496350364963503	0.4416058394160584	0.40875912408759124	0.41605839416058393	0.33175182481751825	0.38686131386861317	0.39416058394160586	0.44525547445255476	0.3613138686131387	0.4197080291970803	0.3905109489051095	0.41605839416058393	0.4306569343065693	0.4343065693430657	0.4197080291970803	0.3905109489051095	0.1291970802919708	0.13759124087591243	0.13759124087591243	0.10693430656934307	0.11094890510948904	0.13759124087591243	0.13503649635036497	0.1010948905109489	0.0	0.13905109489051096	0.172992700729927	0.21350364963503649	0.18284671532846716	0.19124087591240876	0.21788321167883212	0.22335766423357664	0.19525547445255476	0.18138686131386864	0.11386861313868613	0.21350364963503649	0.1645985401459854	0.1291970802919708	0.18394160583941604	0.172992700729927	0.19963503649635037	0.15036496350364964	0.15583941605839416	0.145985401459854	0.0	0.11934306569343067	0.17992700729927005	0.10255474452554746	0.0	0.2291970802919708	0.1981751824817518	0.21642335766423357	0.13211678832116788	0.18138686131386864	0.21094890510948905	0.21496350364963504	0.16167883211678832	0.16715328467153284	0.1927007299270073	0.19124087591240876	0.1364963503649635	0.16313868613138688	0.15875912408759124	0.13357664233576644	0.17992700729927005	0.16313868613138688	0.2208029197080292	0.21094890510948905	0.1897810218978102	0.16021897810218977	0.16021897810218977	0.1686131386861314	0.20656934306569344	0.23321167883211677	0.1854014598540146	0.2051094890510949	0.141970802919708	0.1364963503649635	0.2051094890510949	0.20656934306569344	0.22627737226277372	0.20364963503649633	0.17992700729927005	0.18686131386861315	0.17554744525547447	0.2124087591240876	0.16313868613138688	0.16715328467153284	0.17153284671532848	0.19525547445255476	0.23065693430656936
ABC1-P23596	0.6131386861313869	0.6715328467153284	0.6605839416058394	0.6715328467153284	0.6240875912408759	0.6094890510948905	0.5547445255474452	0.583941605839416	0.0	0.5912408759124088	0.4562043795620438	0.4233576642335766	0.4051094890510949	0.4051094890510949	0.4197080291970803	0.45255474452554745	0.4708029197080292	0.38321167883211676	0.4416058394160584	0.40145985401459855	0.4343065693430657	0.4233576642335766	0.4306569343065693	0.4416058394160584	0.40145985401459855	0.14343065693430657	0.15474452554744525	0.15474452554744525	0.12226277372262774	0.14343065693430657	0.16569343065693432	0.15036496350364964	0.12372262773722627	0.11678832116788321	0.15875912408759124	0.20802919708029197	0.21350364963503649	0.21094890510948905	0.2124087591240876	0.23759124087591238	0.21094890510948905	0.17007299270072992	0.21094890510948905	0.16569343065693432	0.18394160583941604	0.16569343065693432	0.2124087591240876	0.21788321167883212	0.19963503649635037	0.24452554744525548	0.1897810218978102	0.17445255474452553	0.1897810218978102	0.15583941605839416	0.13211678832116788	0.20656934306569344	0.15036496350364964	0.18284671532846716	0.24051094890510952	0.20364963503649633	0.22773722627737225	0.16167883211678832	0.2094890510948905	0.23467153284671532	0.2218978102189781	0.1981751824817518	0.16569343065693432	0.27262773722627737	0.18686131386861315	0.15875912408759124	0.15729927007299271	0.18686131386861315	0.16569343065693432	0.16313868613138688	0.16569343065693432	0.24306569343065693	0.23759124087591238	0.23175182481751824	0.2124087591240876	0.19525547445255476	0.2094890510948905	0.2587591240875913	0.24452554744525548	0.22773722627737225	0.23759124087591238	0.23321167883211677	0.1981751824817518	0.2291970802919708	0.25437956204379564	0.21788321167883212	0.2291970802919708	0.23905109489051096	0.24306569343065693	0.24890510948905112	0.19525547445255476	0.2218978102189781	0.1854014598540146	0.21094890510948905	0.2248175182481752	0.23467153284671532
ABC1-O85350	0.6751824817518248	0.6897810218978102	0.6970802919708029	0.6678832116788321	0.6459854014598541	0.656934306569343	0.6861313868613139	0.6496350364963503	0.5912408759124088	0.0	0.40145985401459855	0.41605839416058393	0.4416058394160584	0.34014598540145985	0.44525547445255476	0.41605839416058393	0.3905109489051095	0.4124087591240876	0.4489051094890511	0.3357664233576642	0.45255474452554745	0.4343065693430657	0.40145985401459855	0.39416058394160586	0.43795620437956206	0.11094890510948904	0.1291970802919708	0.1291970802919708	0.13211678832116788	0.10255474452554746	0.13065693430656933	0.0	0.07992700729927006	0.10948905109489052	0.13065693430656933	0.18686131386861315	0.1927007299270073	0.19671532846715328	0.2051094890510949	0.20656934306569344	0.21496350364963504	0.20255474452554745	0.2218978102189781	0.16715328467153284	0.21496350364963504	0.1686131386861314	0.19525547445255476	0.2051094890510949	0.172992700729927	0.2051094890510949	0.16167883211678832	0.14744525547445256	0.17007299270072992	0.17007299270072992	0.145985401459854	0.17554744525547447	0.1291970802919708	0.14890510948905109	0.14343065693430657	0.141970802919708	0.16569343065693432	0.1178832116788321	0.2051094890510949	0.18832116788321168	0.13503649635036497	0.17445255474452553	0.15729927007299271	0.20255474452554745	0.16313868613138688	0.14051094890510948	0.15583941605839416	0.17992700729927005	0.18686131386861315	0.1686131386861314	0.12664233576642336	0.19963503649635037	0.23467153284671532	0.17992700729927005	0.19671532846715328	0.1854014598540146	0.18832116788321168	0.2218978102189781	0.21094890510948905	0.18138686131386864	0.2208029197080292	0.20802919708029197	0.177007299270073	0.20802919708029197	0.2218978102189781	0.18686131386861315	0.22773722627737225	0.18138686131386864	0.21094890510948905	0.21642335766423357	0.21496350364963504	0.19963503649635037	0.16569343065693432	0.2051094890510949	0.177007299270073	0.22627737226277372
